,PC1,PC2,PC3,PC4,PC5,PC6
bus_count_500m_walk,0.10584533,0.09258271,-0.049197525,0.014663605,0.006718044,-0.07093668
bus_services_500m_walk,0.08717685,0.13653179,-0.12787671,0.015312839,-0.016239991,-0.079167865
bus_nearest_drive_m,0.088145904,-0.063375235,0.0053600436,-0.026785161,-0.0561402,-0.028942194
bus_count_500m_drive,0.1087372,0.07817714,0.010207866,0.008491046,0.05684623,0.079193704
bus_services_500m_drive,0.09367981,0.13153753,-0.066199794,0.010873533,0.043246824,0.095972195
hawker_nearest_walk_m,0.13941789,-0.044171233,0.0073460108,0.002407817,-0.006911735,0.0054989653
hawker_count_500m_walk,0.03493856,0.1754728,0.004428332,-0.024805471,0.07560488,-0.09885245
hawker_nearest_drive_m,0.13841465,-0.04518018,0.01027411,0.0034538598,-0.011153866,-0.003611597
hawker_count_500m_drive,0.030501993,0.13636456,0.022150798,-0.0352464,0.072159916,0.043948855
school_nearest_walk_m,0.14008507,-0.032832157,0.00014102971,-0.0024047499,0.0070078145,-0.003244677
school_count_500m_walk,0.025693772,0.09097961,0.09414714,0.028195236,-0.051103275,0.0047824243
school_nearest_drive_m,0.13897718,-0.037776787,-0.011468108,-0.0038229937,0.008027777,-0.003489089
school_count_500m_drive,0.029589197,0.09086669,0.110013716,0.045344587,-0.027685469,0.010067624
ev_nearest_walk_m,0.11768843,-0.092862636,0.03797836,-0.031185169,0.033755988,-0.09985745
ev_count_500m_walk,0.083451755,0.15818428,-0.0745346,0.028274914,-0.017248109,0.10196888
ev_plugs_500m_walk,0.076166674,0.16711044,-0.07854196,0.028396342,-0.008831814,0.07318077
ev_nearest_drive_m,0.10661697,-0.105529204,0.027821561,-0.036746286,0.018236937,-0.13513327
ev_count_500m_drive,0.08278334,0.13895634,-0.032073848,0.038006023,0.019667603,0.23938581
ev_plugs_500m_drive,0.07537939,0.137804,-0.043353237,0.035317913,0.011049353,0.2572945
bp_nearest_walk_m,0.13806194,-0.05105505,-0.036690176,0.010681575,0.0026675407,0.001796276
bp_count_500m_walk,0.024102403,0.17630209,0.30156094,-0.06997566,0.009901382,-0.07169478
bp_racks_500m_walk,0.02288987,0.16738589,0.3033307,-0.06614349,0.00625984,-0.07246899
bp_nearest_drive_m,0.1365253,-0.056422893,-0.04601637,0.0127042,0.0036793386,-0.0007498659
bp_count_500m_drive,0.024231028,0.16225033,0.3064883,-0.073190264,0.0035440025,-0.019189853
bp_racks_500m_drive,0.020580381,0.15715495,0.309942,-0.06697566,0.0011535488,-0.038387816
bp_sheltered_500m_walk,0.020685788,0.1667322,0.29257825,-0.052524023,0.011825771,-0.07661409
cyc_nearest_walk_m,0.13722533,-0.046556342,-0.025753306,-0.000679639,0.0077933613,-0.011920905
cyc_density_500m_walk,0.028373245,0.11425259,0.17254904,-0.03574979,-0.03527949,0.01994884
cyc_nearest_drive_m,0.13559447,-0.0510429,-0.036786124,-0.0012878833,0.009263115,-0.01763196
cyc_density_500m_drive,0.030210383,0.119334795,0.20062743,-0.027090143,-0.02095931,0.045159213
pcn_nearest_walk_m,0.13238643,-0.046768155,0.016832618,-0.026426071,0.005903604,-0.035118256
pcn_density_500m_walk,0.04692908,0.08401722,-0.053391982,0.038154468,-0.024888782,0.10243865
pcn_nearest_drive_m,0.12643604,-0.047906887,0.015246966,-0.023754347,-0.005771098,-0.06408065
pcn_density_500m_drive,0.051718466,0.052372385,-0.029356293,0.042055257,0.010124848,0.19943137
erp_nearest_walk_m,0.13613027,-0.03163416,0.013600759,0.0014532784,0.019710869,0.018874094
erp_count_500m_walk,0.04577551,0.024028357,-0.044184603,-0.008110849,-0.07706768,-0.112502195
erp_nearest_drive_m,0.13562186,-0.026363725,0.0062348233,-0.0042473394,0.016155733,0.012969359
erp_count_500m_drive,0.040335204,0.007124113,0.008215684,0.0071047004,-0.04723114,-0.056964718
carpark_nearest_walk_m,0.13414732,-0.077939376,0.009403752,0.0007982752,-0.0039646337,0.0010722987
carpark_count_500m_walk,0.05105976,0.20812754,-0.012958096,-0.016614633,0.03823167,-0.025600418
carpark_nearest_drive_m,0.12589584,-0.101128615,0.0025339744,-0.005980063,-0.009961248,-0.0448201
carpark_count_500m_drive,0.057713665,0.1971876,0.066975206,-0.009899685,0.02711393,0.10894173
taxi_nearest_walk_m,0.13978805,-0.035658572,0.013511685,0.0005498787,-0.002071074,0.004917534
taxi_count_500m_walk,0.03406959,0.1249477,-0.04450394,-0.023717457,0.05002728,-0.08949035
taxi_nearest_drive_m,0.13857684,-0.0394534,0.016063323,-0.003053555,-0.007888169,-0.004417957
taxi_count_500m_drive,0.0326022,0.111158155,-0.040130787,0.013740267,0.06479449,0.0007751273
mall_nearest_walk_m,0.13948879,-0.03452407,0.020047378,-0.002826995,-0.0014009944,-0.02622314
mall_count_500m_walk,0.030642468,0.10844589,-0.10897559,0.009446952,0.055681165,0.18665786
mall_nearest_drive_m,0.13828504,-0.03563301,0.022851294,-0.0047620493,-0.0046076416,-0.045333378
mall_count_500m_drive,0.031328548,0.09112446,-0.09236131,0.02840325,0.08949364,0.28219095
supermarket_nearest_walk_m,0.1368221,-0.05735875,0.032848366,-0.0015737549,-0.004438693,0.017812029
supermarket_count_500m_walk,0.051100962,0.17193833,-0.14436755,0.0117524965,0.055369366,-0.085946724
supermarket_nearest_drive_m,0.13426611,-0.06025816,0.0346807,-0.0037578726,-0.011736545,-0.02552351
supermarket_count_500m_drive,0.052488822,0.16336861,-0.10334847,0.0063367696,0.08000172,0.07387202
bank_nearest_walk_m,0.13860482,-0.036562283,0.030051176,-0.0070350682,0.00038878713,0.023076057
bank_count_500m_walk,0.03932709,0.10807433,-0.15477969,0.022114607,0.043284375,-0.16649936
bank_nearest_drive_m,0.13776568,-0.039310202,0.025638375,-0.0040993784,-0.0072256797,0.01533934
bank_count_500m_drive,0.039193004,0.10349338,-0.12693128,0.031379364,0.0828418,-0.07201206
atm_nearest_walk_m,0.1362885,-0.06419785,0.030123148,0.003793321,-0.010171048,0.015580678
atm_count_500m_walk,0.04928157,0.20106043,-0.10574717,-0.02271265,0.078133106,-0.12669183
atm_nearest_drive_m,0.13331844,-0.07082097,0.03137899,-0.0002199092,-0.01895702,-0.014377643
atm_count_500m_drive,0.05097379,0.18913716,-0.07070853,-0.009220093,0.09948685,-0.010871083
clinic_nearest_walk_m,0.13566957,-0.059369665,0.042719368,0.0013191773,-0.0002375898,0.045822766
clinic_count_500m_walk,0.0460286,0.14594364,-0.15832108,-0.011233338,0.026399737,-0.20809592
