postal_code,row_idx
408698,638
408699,639
408703,640
408708,641
408718,642
408724,643
408726,644
408727,645
408730,646
408731,647
408732,648
408734,649
408754,650
408756,651
408761,652
408763,653
408764,654
408771,655
408776,656
408782,657
408795,658
408802,659
408806,660
408810,661
408830,662
408832,663
408857,664
408859,665
408863,666
408866,667
408867,668
408868,669
408897,670
408933,671
408934,672
408935,673
408937,674
408938,675
408939,676
408941,677
408942,678
409009,679
409015,680
409017,681
409020,682
409022,683
409030,684
409032,685
409459,686
409570,687
409572,688
409574,689
409576,690
409838,691
409959,692
409962,693
408696,694
408723,695
534013,696
534054,697
534057,698
534101,699
534104,700
534106,701
534118,702
534138,703
534158,704
534182,705
534408,706
534421,707
534963,708
535215,709
535217,710
535219,711
535221,712
535222,713
535223,714
535225,715
535226,716
535227,717
536197,718
536200,719
536204,720
536205,721
536208,722
536209,723
536210,724
536212,725
537003,726
537024,727
537035,728
537041,729
537043,730
537068,731
537070,732
537080,733
537084,734
537087,735
537093,736
539182,737
539183,738
539213,739
539214,740
539215,741
539220,742
539221,743
539223,744
539225,745
539226,746
539227,747
534103,748
534120,749
535218,750
537066,751
539775,752
608521,753
608556,754
608600,755
608614,756
608617,757
608783,758
608837,759
608840,760
608927,761
608928,762
608971,763
608973,764
609034,765
609039,766
609042,767
609124,768
609130,769
609162,770
609163,771
609193,772
609208,773
609217,774
609253,775
609259,776
609260,777
609269,778
609279,779
609288,780
609290,781
609299,782
609385,783
609389,784
609602,785
609914,786
609915,787
609919,788
609921,789
609922,790
609923,791
609925,792
609927,793
609928,794
609929,795
609934,796
618285,797
618289,798
618292,799
619101,800
619103,801
619293,802
619299,803
619328,804
619336,805
619554,806
619557,807
619569,808
619570,809
619595,810
619730,811
619747,812
618679,813
618686,814
618768,815
618769,816
618776,817
618779,818
618814,819
618815,820
618816,821
618821,822
619523,823
619528,824
619697,825
619774,826
619775,827
619857,828
619860,829
619861,830
619866,831
619890,832
619896,833
619900,834
619902,835
619903,836
619926,837
619927,838
619930,839
619931,840
619933,841
619938,842
619942,843
627605,844
627606,845
627607,846
627608,847
627695,848
627698,849
627935,850
627938,851
627942,852
628073,853
628074,854
628075,855
628082,856
628460,857
628471,858
628704,859
628707,860
628711,861
628716,862
628731,863
628732,864
628749,865
628753,866
628754,867
628763,868
628773,869
628774,870
628781,871
628799,872
628800,873
628818,874
628827,875
628841,876
628873,877
628880,878
628881,879
628882,880
628899,881
629173,882
629177,883
629788,884
629795,885
629813,886
629822,887
629823,888
648105,889
609216,890
609930,891
618494,892
628751,893
208561,894
218385,895
328462,896
330064,897
331011,898
338729,899
339160,900
339211,901
339213,902
339263,903
339274,904
339344,905
339410,906
339412,907
339416,908
339417,909
339509,910
339510,911
339511,912
339562,913
339564,914
339572,915
339779,916
339781,917
339936,918
339937,919
339940,920
339941,921
389214,922
431001,923
328775,924
328781,925
328814,926
328821,927
329512,928
329513,929
506960,930
507028,931
507076,932
507100,933
507602,934
507603,935
508702,936
508705,937
508706,938
508707,939
508708,940
508722,941
508724,942
508733,943
508740,944
508746,945
508749,946
508750,947
508755,948
508765,949
508768,950
508775,951
508784,952
508788,953
508836,954
508837,955
508839,956
508896,957
508897,958
508913,959
508915,960
508916,961
508917,962
508920,963
508921,964
508925,965
508927,966
508928,967
508935,968
508942,969
508944,970
508947,971
508953,972
508956,973
508957,974
508959,975
508966,976
508967,977
508976,978
508982,979
508986,980
508993,981
509010,982
509012,983
509016,984
510259,985
518220,986
528528,987
528532,988
528543,989
528545,990
528546,991
528603,992
528619,993
528759,994
528761,995
528775,996
528798,997
528830,998
529580,999
533865,1000
534022,1001
627800,1002
627813,1003
627824,1004
627828,1005
627866,1006
627895,1007
628001,1008
628005,1009
628108,1010
628162,1011
628172,1012
628321,1013
628322,1014
628342,1015
628346,1016
628365,1017
628371,1018
628386,1019
628413,1020
628414,1021
628428,1022
628444,1023
628455,1024
628457,1025
628458,1026
628459,1027
628461,1028
628462,1029
628463,1030
628465,1031
628466,1032
628467,1033
628469,1034
628470,1035
628535,1036
628623,1037
628627,1038
628628,1039
628633,1040
628642,1041
628942,1042
628965,1043
628969,1044
628974,1045
628977,1046
628980,1047
628986,1048
628989,1049
629019,1050
629027,1051
629031,1052
629034,1053
629041,1054
629045,1055
629046,1056
629051,1057
629058,1058
629066,1059
629072,1060
629075,1061
629085,1062
629090,1063
629105,1064
629150,1065
629191,1066
629197,1067
629215,1068
629216,1069
629233,1070
629234,1071
629243,1072
629261,1073
629266,1074
629286,1075
629292,1076
629294,1077
629314,1078
629318,1079
629371,1080
629372,1081
629378,1082
629409,1083
629415,1084
629416,1085
629418,1086
629421,1087
629430,1088
629454,1089
629455,1090
629457,1091
629458,1092
629460,1093
629464,1094
629467,1095
629470,1096
629477,1097
629484,1098
629485,1099
629517,1100
629520,1101
629522,1102
629523,1103
629537,1104
629560,1105
629563,1106
629564,1107
629565,1108
629566,1109
629569,1110
629575,1111
629586,1112
629590,1113
629596,1114
629617,1115
629621,1116
629635,1117
629636,1118
629637,1119
629651,1120
629652,1121
629654,1122
629657,1123
629659,1124
629662,1125
629663,1126
629669,1127
629680,1128
629681,1129
629699,1130
629706,1131
629728,1132
629734,1133
629753,1134
629844,1135
629845,1136
629847,1137
629849,1138
629877,1139
629880,1140
629882,1141
629887,1142
629893,1143
629895,1144
629901,1145
629902,1146
629911,1147
629914,1148
629923,1149
629926,1150
629930,1151
629934,1152
629938,1153
629947,1154
629970,1155
629980,1156
629982,1157
629985,1158
629986,1159
508931,1160
627753,1161
628502,1162
629108,1163
629406,1164
117407,1165
117408,1166
117525,1167
117684,1168
118256,1169
118265,1170
118518,1171
118529,1172
118535,1173
118759,1174
119316,1175
119933,1176
119937,1177
119967,1178
119982,1179
138507,1180
138538,1181
138552,1182
138648,1183
139212,1184
139231,1185
139232,1186
139233,1187
139234,1188
139944,1189
139948,1190
139953,1191
139954,1192
139967,1193
149544,1194
149546,1195
149598,1196
117528,1197
117586,1198
117610,1199
118254,1200
138522,1201
138542,1202
138567,1203
139395,1204
139941,1205
139963,1206
207628,1207
797507,1208
797520,1209
797523,1210
797545,1211
797546,1212
797547,1213
797549,1214
797553,1215
797554,1216
797560,1217
797563,1218
797567,1219
797570,1220
797574,1221
737678,1222
737679,1223
737680,1224
737682,1225
737683,1226
737684,1227
737685,1228
737686,1229
737687,1230
737688,1231
737689,1232
737690,1233
737692,1234
737693,1235
737694,1236
737695,1237
737696,1238
737697,1239
737698,1240
737699,1241
737700,1242
737724,1243
737725,1244
737726,1245
737727,1246
737743,1247
737914,1248
738068,1249
738074,1250
738204,1251
738248,1252
738309,1253
738346,1254
738357,1255
738358,1256
738361,1257
738363,1258
738364,1259
738365,1260
738366,1261
738388,1262
738396,1263
738427,1264
738429,1265
738430,1266
738431,1267
738435,1268
738437,1269
738442,1270
738455,1271
738457,1272
738461,1273
738468,1274
738719,1275
738722,1276
738725,1277
738726,1278
738728,1279
738733,1280
738738,1281
738960,1282
756939,1283
757022,1284
757044,1285
757087,1286
757088,1287
757089,1288
757090,1289
757440,1290
757695,1291
758027,1292
758028,1293
758029,1294
758033,1295
758035,1296
758037,1297
758038,1298
758047,1299
758060,1300
758062,1301
758069,1302
758070,1303
758078,1304
758081,1305
758082,1306
758084,1307
758086,1308
758088,1309
758093,1310
758095,1311
758098,1312
758107,1313
758111,1314
758123,1315
758127,1316
758130,1317
758145,1318
758152,1319
758157,1320
758163,1321
758171,1322
758172,1323
758182,1324
758183,1325
758200,1326
758214,1327
758224,1328
758225,1329
758227,1330
758236,1331
758261,1332
758262,1333
758266,1334
758271,1335
758273,1336
758277,1337
758283,1338
758298,1339
758299,1340
758303,1341
534961,1342
554502,1343
554809,1344
554812,1345
554864,1346
554911,1347
555851,1348
555852,1349
555856,1350
555858,1351
555859,1352
567760,1353
567761,1354
568049,1355
569498,1356
569499,1357
569500,1358
569501,1359
569502,1360
569503,1361
569505,1362
569507,1363
569510,1364
569525,1365
569526,1366
569527,1367
569528,1368
569529,1369
569530,1370
569531,1371
569532,1372
569536,1373
569537,1374
569539,1375
569541,1376
569543,1377
569544,1378
569545,1379
569546,1380
569547,1381
569548,1382
569549,1383
569550,1384
569552,1385
569554,1386
569555,1387
569556,1388
569557,1389
569559,1390
569560,1391
569561,1392
569562,1393
569563,1394
569564,1395
569565,1396
569566,1397
569568,1398
569569,1399
569570,1400
569571,1401
569707,1402
569870,1403
569877,1404
569880,1405
169632,1406
728650,1407
728653,1408
728654,1409
728658,1410
728676,1411
728678,1412
728679,1413
728874,1414
728947,1415
728949,1416
729030,1417
729035,1418
729041,1419
729148,1420
729228,1421
729232,1422
729238,1423
729245,1424
729246,1425
729323,1426
729338,1427
729342,1428
729344,1429
729347,1430
729351,1431
729352,1432
729356,1433
729362,1434
729374,1435
729449,1436
729476,1437
729553,1438
729904,1439
729908,1440
729909,1441
729910,1442
729913,1443
729915,1444
729922,1445
729927,1446
729930,1447
729931,1448
729932,1449
729934,1450
729938,1451
729989,1452
737659,1453
737869,1454
738782,1455
739431,1456
739443,1457
739449,1458
739452,1459
739485,1460
739567,1461
739571,1462
738265,1463
738317,1464
738434,1465
738472,1466
758096,1467
569876,1468
485996,1469
486005,1470
486028,1471
486035,1472
486049,1473
486051,1474
486056,1475
486121,1476
486126,1477
486132,1478
486148,1479
486161,1480
486351,1481
486353,1482
486415,1483
486443,1484
486445,1485
486477,1486
486594,1487
486596,1488
486765,1489
486766,1490
486770,1491
486778,1492
486782,1493
486785,1494
486787,1495
486791,1496
486795,1497
486796,1498
486797,1499
489947,1500
489948,1501
489977,1502
489978,1503
489979,1504
489980,1505
528548,1506
528559,1507
528845,1508
528871,1509
528872,1510
528876,1511
318992,1512
318995,1513
319053,1514
319054,1515
319055,1516
319056,1517
319057,1518
319059,1519
319060,1520
319061,1521
319063,1522
319064,1523
319074,1524
319075,1525
319076,1526
319255,1527
319257,1528
319261,1529
319455,1530
319459,1531
319516,1532
319518,1533
319519,1534
367904,1535
367953,1536
367955,1537
367956,1538
367981,1539
367983,1540
367997,1541
368025,1542
368082,1543
368085,1544
368088,1545
368089,1546
368125,1547
368181,1548
368238,1549
368314,1550
368318,1551
368319,1552
368320,1553
368326,1554
368329,1555
368355,1556
368358,1557
368359,1558
368363,1559
368812,1560
368813,1561
368814,1562
369520,1563
369521,1564
369551,1565
369577,1566
369585,1567
369586,1568
369610,1569
369617,1570
369621,1571
369646,1572
369647,1573
369648,1574
369649,1575
369652,1576
369676,1577
369683,1578
369930,1579
369941,1580
369947,1581
369974,1582
369976,1583
369977,1584
536981,1585
579713,1586
636753,1587
636760,1588
636761,1589
636787,1590
636799,1591
636800,1592
636802,1593
636803,1594
636824,1595
636840,1596
636846,1597
636871,1598
636884,1599
636887,1600
636891,1601
636892,1602
636901,1603
636902,1604
636909,1605
636911,1606
636914,1607
636917,1608
636939,1609
636941,1610
636943,1611
636944,1612
636945,1613
636954,1614
636961,1615
636963,1616
636976,1617
636996,1618
636997,1619
637002,1620
637003,1621
637005,1622
637014,1623
637016,1624
637021,1625
637037,1626
637051,1627
637069,1628
637077,1629
637084,1630
637086,1631
637088,1632
637089,1633
637094,1634
637101,1635
637107,1636
637117,1637
637126,1638
637127,1639
637156,1640
637161,1641
637166,1642
637167,1643
637174,1644
637202,1645
637225,1646
637228,1647
637244,1648
637251,1649
637262,1650
637274,1651
637291,1652
637301,1653
637311,1654
637330,1655
637336,1656
637363,1657
637379,1658
637385,1659
637410,1660
637424,1661
637428,1662
637431,1663
637433,1664
637434,1665
637439,1666
637444,1667
637450,1668
637455,1669
637462,1670
637466,1671
637468,1672
637470,1673
637473,1674
637488,1675
637492,1676
637500,1677
637510,1678
637519,1679
637521,1680
637526,1681
637531,1682
637532,1683
637552,1684
637557,1685
637570,1686
637571,1687
637574,1688
637594,1689
637595,1690
637602,1691
637603,1692
637604,1693
637609,1694
637610,1695
637612,1696
637614,1697
637615,1698
637637,1699
637638,1700
637642,1701
637643,1702
637649,1703
637654,1704
637667,1705
637677,1706
637684,1707
637728,1708
637739,1709
637750,1710
637753,1711
637766,1712
637769,1713
637777,1714
637779,1715
637788,1716
637790,1717
637810,1718
637822,1719
637842,1720
637846,1721
637849,1722
637850,1723
637858,1724
637874,1725
638025,1726
638027,1727
638029,1728
638031,1729
638032,1730
638035,1731
638036,1732
638055,1733
638057,1734
638062,1735
638070,1736
638071,1737
638089,1738
638112,1739
638377,1740
638380,1741
638382,1742
638383,1743
638406,1744
638413,1745
638428,1746
638430,1747
638432,1748
638434,1749
638436,1750
638456,1751
638458,1752
638490,1753
638496,1754
638499,1755
638500,1756
638503,1757
638505,1758
638522,1759
638528,1760
638550,1761
638552,1762
638554,1763
638555,1764
638556,1765
638560,1766
638563,1767
638565,1768
638568,1769
638583,1770
638586,1771
638588,1772
638593,1773
638595,1774
638599,1775
638610,1776
638636,1777
638639,1778
638675,1779
638677,1780
638714,1781
638717,1782
638723,1783
638730,1784
638737,1785
638741,1786
638743,1787
638747,1788
638755,1789
638772,1790
638803,1791
638826,1792
638827,1793
638858,1794
638869,1795
638888,1796
638892,1797
638895,1798
638905,1799
638924,1800
638932,1801
638976,1802
638977,1803
638983,1804
638988,1805
638989,1806
638992,1807
639031,1808
639032,1809
639033,1810
639036,1811
639067,1812
639074,1813
639076,1814
639081,1815
639097,1816
639107,1817
639108,1818
639109,1819
639111,1820
639125,1821
639126,1822
639127,1823
639131,1824
639136,1825
639138,1826
639141,1827
639142,1828
639144,1829
639145,1830
639146,1831
639149,1832
639169,1833
639177,1834
639178,1835
639190,1836
639193,1837
639215,1838
639217,1839
639225,1840
639228,1841
639230,1842
639234,1843
639236,1844
639244,1845
639247,1846
639273,1847
639298,1848
639303,1849
639306,1850
639308,1851
639309,1852
639333,1853
639338,1854
639364,1855
639375,1856
639407,1857
639417,1858
639427,1859
639455,1860
639457,1861
639460,1862
639467,1863
639468,1864
639486,1865
639487,1866
639489,1867
639492,1868
639493,1869
639501,1870
639530,1871
639577,1872
639581,1873
639585,1874
639926,1875
639931,1876
639932,1877
486029,1878
486066,1879
486123,1880
486361,1881
486763,1882
486779,1883
528766,1884
528880,1885
368324,1886
368356,1887
368357,1888
368360,1889
637302,1890
637360,1891
637787,1892
639105,1893
639597,1894
118326,1895
118327,1896
118328,1897
627470,1898
627571,1899
627590,1900
627596,1901
627625,1902
627740,1903
627862,1904
627865,1905
627869,1906
627871,1907
627876,1908
627877,1909
627881,1910
627884,1911
627886,1912
628287,1913
698924,1914
737664,1915
737719,1916
737853,1917
737854,1918
737855,1919
737856,1920
737859,1921
739082,1922
739144,1923
739175,1924
739193,1925
739211,1926
739249,1927
739254,1928
739257,1929
757047,1930
757048,1931
757281,1932
757287,1933
757288,1934
757291,1935
757295,1936
757298,1937
757305,1938
757306,1939
757308,1940
757319,1941
757322,1942
757432,1943
757447,1944
757451,1945
757452,1946
757454,1947
757459,1948
757468,1949
757472,1950
757492,1951
757493,1952
757494,1953
757495,1954
757496,1955
757497,1956
757498,1957
757499,1958
757500,1959
757501,1960
757503,1961
757504,1962
757505,1963
757506,1964
757509,1965
757510,1966
757511,1967
757512,1968
757513,1969
757516,1970
757522,1971
757523,1972
757524,1973
757525,1974
757526,1975
757700,1976
757716,1977
757718,1978
757724,1979
757726,1980
757732,1981
757733,1982
757739,1983
757740,1984
757742,1985
757747,1986
768090,1987
768091,1988
768159,1989
768160,1990
768161,1991
768441,1992
768724,1993
768727,1994
768728,1995
768730,1996
768732,1997
768733,1998
768734,1999
768735,2000
768737,2001
768739,2002
768743,2003
768758,2004
768759,2005
768761,2006
768762,2007
768763,2008
768765,2009
768766,2010
787126,2011
768736,2012
059815,2013
098829,2014
109842,2015
117369,2016
118221,2017
118255,2018
118261,2019
120712,2020
138498,2021
138665,2022
140075,2023
150072,2024
150073,2025
159934,2026
162001,2027
163020,2028
179098,2029
207903,2030
259882,2031
310003,2032
310111,2033
310115,2034
310209,2035
319640,2036
319763,2037
339153,2038
339155,2039
339156,2040
339159,2041
339339,2042
339414,2043
339505,2044
339631,2045
339949,2046
348548,2047
398298,2048
408618,2049
408621,2050
408825,2051
408864,2052
417883,2053
428788,2054
469000,2055
486017,2056
486026,2057
486030,2058
486036,2059
486045,2060
486059,2061
486073,2062
486127,2063
486133,2064
486147,2065
486153,2066
486349,2067
486478,2068
486548,2069
486630,2070
486792,2071
498745,2072
498746,2073
498770,2074
498790,2075
507020,2076
528765,2077
528886,2078
529482,2079
535216,2080
537055,2081
538871,2082
539217,2083
539219,2084
550147,2085
554531,2086
555853,2087
555854,2088
569625,2089
597654,2090
598742,2091
608831,2092
608832,2093
608838,2094
609040,2095
609128,2096
609206,2097
609289,2098
609386,2099
609388,2100
609601,2101
609917,2102
609924,2103
609932,2104
609935,2105
609937,2106
619120,2107
619478,2108
619746,2109
627751,2110
627996,2111
629193,2112
629853,2113
637312,2114
637670,2115
638386,2116
639307,2117
639532,2118
639925,2119
639938,2120
639939,2121
730900,2122
738100,2123
738283,2124
738308,2125
738436,2126
738736,2127
758048,2128
758297,2129
768768,2130
797564,2131
797572,2132
